,0,1
0,"BOSCHLTD,",0.6768368373205552
1,"ESCORTS,",0.7135640313210379
2,"GSPL,",0.7153696076306116
3,"ICICIBANK,",0.7427193954003577
4,"KOTAKBANK,",0.7506902899217776
5,"MARUTI,",0.7533843437316068
6,"BHARATFORG,",0.7621951219512195
7,"KALPATPOWR,",0.7969798657718183
8,"SOLARINDS,",0.8079175924055746
9,"IDFC,",0.8341056533827671
10,"IPCALAB,",0.8358662613981762
11,"NUVOCO,",0.8422138191818456
12,"HDFCLIFE,",0.8605694406298511
13,"STAR,",0.8645533141210375
14,"FINPIPE,",0.8739985433357734
15,"JUBLFOOD,",0.877645844088801
16,"NESTLEIND,",0.9095831077422848
17,"KEC,",0.9196515004840299
18,"QUESS,",0.9289000781317861
19,"NESCO,",0.9509684173791739
20,"PIDILITIND,",0.9713024282560706
21,"NATCOPHARM,",0.9767151117362088
22,"KIMS,",0.9789281566285202
23,"NYKAA,",1.0021321961620404
24,"APLLTD,",1.0078311201906676
25,"INDHOTEL,",1.032806804374245
26,"CASTROLIND,",1.0507080858839704
27,"POLICYBZR,",1.0627846744663831
28,"WOCKPHARMA,",1.072761194029856
29,"IBREALEST,",1.0852713178294617
30,"SRTRANSFIN,",1.107084544621868
31,"TITAN,",1.1266420457201585
32,"ICIL,",1.1552346570397072
33,"COALINDIA,",1.1556240369799693
34,"TATACOFFEE,",1.1567516525023687
35,"GRINFRA,",1.1666666666666667
36,"ABB,",1.1996933691069445
37,"ROUTE,",1.2265456782528488
38,"POLYCAB,",1.2411268360194734
39,"RAMCOCEM,",1.2645539363096683
40,"AXISBANK,",1.2846715328467087
41,"APOLLOTYRE,",1.3256206314774646
42,"GRINDWELL,",1.3266279372236218
43,"CUMMINSIND,",1.3343482738548418
44,"POWERINDIA,",1.3371428571428623
45,"DEVYANI,",1.3485166317051245
46,"BANKBARODA,",1.3679890560875512
47,"HONAUT,",1.3958749186865678
48,"CHOLAFIN,",1.4139520349972587
49,"AMARAJABAT,",1.418289585097373
50,"SHREECEM,",1.4311202693873448
51,"SHRIRAMCIT,",1.4613180515759312
52,"IIFL,",1.5057188359635285
53,"KNRCON,",1.519250780437047
54,"RHIM,",1.5544041450777202
55,"VBL,",1.5608740894901145
56,"BATAINDIA,",1.6135135135135086
57,"HLEGLAS,",1.6183077639704997
58,"TRENT,",1.6488080405349395
59,"DCMSHRIRAM,",1.692253128641642
60,"DBL,",1.7703349282296597
61,"SUPREMEIND,",1.8037650641951275
62,"TANLA,",1.8122977346278362
63,"SAREGAMA,",1.9154228855721365
64,"MUTHOOTFIN,",1.9249465292630719
65,"VENKEYS,",1.9534951527079145
66,"KPITTECH,",2.0365587124975164
67,"JUSTDIAL,",2.1065989847715816
68,"GNFC,",2.108480953127439
69,"CLEAN,",2.143324607329843
70,"ANGELONE,",2.1707943219571124
71,"SUVENPHAR,",2.2187534842234338
72,"KALYANKJIL,",2.2222222222222263
73,"AARTIDRUGS,",2.2539793191588346
74,"LXCHEM,",2.2658099425092963
75,"JBCHEPHARM,",2.27998747259631
76,"PEL,",2.3099574030132417
77,"BLUESTARCO,",2.345858418102556
78,"FINEORG,",2.3613430315380266
79,"HINDALCO,",2.565564424173318
80,"HATSUN,",2.5854352061502768
81,"KANSAINER,",2.6983337478239298
82,"BORORENEW,",2.7642770352369275
83,"ANURAS,",2.794117647058824
84,"JAMNAAUTO,",2.861445783132538
85,"MRPL,",2.870813397129198
86,"TIMKEN,",2.8868581042327834
87,"RALLIS,",3.0436917034855124
88,"OIL,",3.135704874835304
89,"JUBLPHARMA,",3.407894736842102
90,"PERSISTENT,",3.677836392005349
91,"NMDC,",3.777148253068933
92,"NAZARA,",4.036393713813065
93,"ADANITRANS,",4.9333813467770975
94,"ADANIGREEN,",6.024070990451704
